Row Labels,Count of Application
/usr/bin/git,54
tfdmgr,2585
/opt/hcl/ccm/versionvault/linux_x86_64/lib/mgrs/text_file_delta/tfdmgr,2585
git.wrapper,2541
/home/cadappl_RHEL8/git/2.43.0/wrapper/git.wrapper,38
/home/cadappl_RHEL8/git/2.49.0/wrapper/git.wrapper,190
/home/cadappl_RHEL8/git/2.52.0/wrapper/git.wrapper,2313
ssh,2385
/usr/bin/ssh,2385
perl,2380
/home/cadappl_RHEL6/perl/5.8.4_64/perl/bin/perl,30
/home/cadappl_RHEL8/perl/5.26.3/perl/bin/perl,430
/home/cadappl_RHEL8/perl/5.8.4/perl/bin/perl,1689
/sdev/devbench/perl/5.36.0-20220913.02-rh8/bin/perl,226
/usr/bin/perl,5
timeout,2257
/usr/bin/timeout,2257
linux-sandbox,2144
/buildstore/_bazel_rmahendr/install/8d5f50e28a91af5bb7169f1a7a6e173a/linux-sandbox,2144
subscription-manager,2013
/usr/sbin/subscription-manager,2013
mv,1933
/usr/bin/mv,1933
sed,1858
/usr/bin/sed,1858
runuser,1589
/usr/sbin/runuser,1589
tr,1588
/usr/bin/tr,1588
cadenv_x64,1569
/home/cadappl_RHEL8/bin/cadenv_x64,1569
cc1plus,1342
/usr/libexec/gcc/x86_64-redhat-linux/8/cc1plus,1342
c++,1335
/usr/bin/c++,1335
tcsh,1102
/usr/bin/tcsh,1102
coreutils,978
/buildstore/.cache/bazel/_bazel_jonispe1/a1b947492321dcffc7c5b450d81e01f1/external/backend_package_1097725816/rpm2cpio_vendored/bin/coreutils,118
/buildstore/.cache/bazel/_bazel_jonispe1/a1b947492321dcffc7c5b450d81e01f1/external/backend_package_696731679/rpm2cpio_vendored/bin/coreutils,286
/buildstore/.cache/bazel/estapel/_bazel_estapel/b7c4c1ccd7cf0b25fb8b32ed16539365/external/backend_package_1579429704/rpm2cpio_vendored/bin/coreutils,80
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/18db0ff9e1b9555342212860abc0edb0/external/backend_package_1321164985/rpm2cpio_vendored/bin/coreutils,132
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/18db0ff9e1b9555342212860abc0edb0/external/backend_package_696731679/rpm2cpio_vendored/bin/coreutils,332
/buildstore/_bazel_btorres/1d2d78a9671fe91396c3e8dad2f80e04/external/backend_package_1034244039/rpm2cpio_vendored/bin/coreutils,1
/buildstore/_bazel_btorres/1d2d78a9671fe91396c3e8dad2f80e04/external/backend_package_696731679/rpm2cpio_vendored/bin/coreutils,1
/buildstore/_bazel_rmahendr/1a542c6378d172af3aab2f84ceeed936/external/rules_asml_sh_default_linux/bin/coreutils,28
suid_dispatch,951
